Χρονική σήμανση,Gender,Age,Education,"Frequency of chatbot use (e.g. ChatGPT, DeepSeek)",I am pleased with using the chatbot.,"I am satisfied with the consultation experience of using the chatbot (e.g. quality of feedback, provided ideas and recommendations).",I am satisfied with my overall experience using the chatbot.,I would recommend that others use the chatbot.,I find the chatbot trustworthy.,I can trust the information presented by the chatbot.,I value the trustworthy characteristics of the chatbot.,I feel happy after using the chatbot.,I have a warm feeling after using the chatbot.,I am being pleasured after using the chatbot.,The chatbot makes me enjoyed.,The chatbot makes me feel relaxed.,I would recommend that my friends and relatives use the chatbot in the future.,I intend to be proud to say to others that I am this chatbot's user.,I intend to mostly say positive things about this chatbot to others.,I speak of this chatbot’s positive experience to others.,I am proud to say to others that I am this chatbot’s user on a social media platform.,I intend to continue using the chatbot.,I predict that I will use the chatbot again in the future.,The chatbot has the functionality I need.,The chatbot has the features required for my tasks.,The chatbot has the ability to do what I want it to do.,The chatbot is very reliable.,The chatbot does not fail me.,The chatbot is extremely dependable.,The chatbot is truthful in its dealings with me.,The chatbot is honest.,The chatbot is competent and effective in providing feedback and recommendations.,The chatbot performs its role of start-up consultant very well.,The chatbot is a capable and proficient consultant.,The chatbot acts in my best interest.,The chatbot does its best to help me with my start-up.,The chatbot is interested in my well-being.
5/22/2025 10:00:07,Female,50+,High School,Nearly everyday,5,4,5,5,5,5,5,4,5,5,4,4,5,4,4,5,4,5,6,5,5,5,4,4,3,4,4,5,5,5,5,4,4
5/22/2025 15:45:11,Female,35-49,University,Less than once a month,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,6,6,7,7,7,7,7,7,7
5/23/2025 11:01:42,Female,18-24,University,Several times a day,6,7,7,6,6,6,6,6,6,6,5,6,6,5,7,7,3,6,6,7,6,7,5,5,5,6,5,7,7,7,6,7,5
5/23/2025 15:27:55,Female,35-49,Post-graduate Studies,Several times a day,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
5/23/2025 16:33:43,Female,35-49,Post-graduate Studies,Never,4,4,4,4,4,4,4,4,4,4,2,4,3,4,4,4,4,3,2,2,3,3,4,4,4,4,4,4,3,4,4,4,3
5/26/2025 15:34:14,Male,50+,University,Nearly everyday,6,7,6,6,5,5,5,6,7,6,7,7,6,5,7,5,5,5,6,6,6,5,5,5,5,5,6,6,5,6,6,5,6
5/27/2025 16:28:01,Male,18-24,University,Several times a day,7,7,7,7,7,7,6,7,7,7,7,5,7,7,7,6,7,7,6,7,7,7,7,7,7,7,6,7,7,7,7,7,7
5/30/2025 7:50:35,Female,50+,University,At least once a week,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,6,6,5,6,6,5,5,5,4,4,6,7,6,5,7,4
5/30/2025 16:42:47,Male,50+,High School,Nearly everyday,6,6,5,5,4,5,5,5,5,5,5,3,6,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,2,3,3,2
5/30/2025 8:15:46,Female,35-49,Post-graduate Studies,At least once a week,7,7,7,7,7,6,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,6,6,5,7,7,7,7,7,6,6,5
6/1/2025 10:19:07,Female,18-24,University,Several times a day,6,6,7,6,5,4,5,5,6,6,6,4,4,5,6,6,6,4,5,3,6,6,6,5,5,5,5,7,4,5,7,5,4
6/1/2025 15:47:17,Male,18-24,University,Nearly everyday,7,7,6,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7
6/1/2025 17:22:03,Male,18-24,University,Nearly everyday,4,6,5,3,3,3,4,1,2,3,4,5,1,1,1,2,1,3,2,3,2,5,3,4,4,4,4,3,4,3,5,3,2
6/1/2025 19:14:36,Male,18-24,University,At least once a week,5,5,5,3,4,5,5,2,1,2,2,1,3,2,3,2,2,1,1,5,5,3,4,4,2,5,6,4,6,6,3,4,2
6/2/2025 15:27:55,Female,35-49,Post-graduate Studies,Several times a day,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
6/2/2025 16:33:43,Female,35-49,Post-graduate Studies,Never,4,4,4,4,4,4,4,4,4,4,2,4,3,4,4,4,4,3,2,2,3,3,4,4,4,4,4,4,3,4,4,4,3
6/2/2025 16:40:43,Male,18-24,University,At least once a week,7,5,6,5,5,5,5,7,7,7,7,7,3,4,5,5,1,5,5,3,3,4,3,3,5,5,5,3,3,3,3,4,7
6/2/2025 16:45:11,Female,25-34,Post-graduate Studies,Less than once a month,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,6,6,7,7,7,7,7,7,7
6/2/2025 17:01:42,Female,25-34,Post-graduate Studies,Several times a day,6,7,7,6,6,6,6,6,6,6,5,6,6,5,7,7,3,6,6,7,6,7,5,5,5,6,5,7,7,7,6,7,5
6/2/2025 17:04:09,Male,35-49,Post-graduate Studies,Less than once a month,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,5,7,7,6
